question_id,question_type,route_used,strategies_used,precision_at_k,recall_at_k,f1_at_k,mrr,map_at_k,ndcg_at_k,hit_rate,semantic_similarity,ragas_faithfulness,ragas_answer_relevancy,ragas_context_recall,ragas_answer_correctness,answer_coverage
VERSE_LOOKUP_001,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.832,1.0,0.9872,1.0,0.6247,1.0
VERSE_LOOKUP_002,VERSE_LOOKUP,semantic_only,semantic,0.4,1.0,0.5714,1.0,1.0,0.8596,1.0,0.8336,1.0,0.9853,1.0,0.7538,1.0
VERSE_LOOKUP_003,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4384,0.2,0.0,1.0,0.1096,0.0
VERSE_LOOKUP_004,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8223,1.0,1.0,1.0,0.8874,1.0
VERSE_LOOKUP_005,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4124,0.3636,0.0,0.0,0.1031,0.0
VERSE_LOOKUP_006,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8585,1.0,0.9259,1.0,0.9205,1.0
VERSE_LOOKUP_007,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8262,1.0,0.9947,1.0,0.8494,1.0
VERSE_LOOKUP_008,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3853,0.0,0.0,0.0,0.0963,0.0
VERSE_LOOKUP_009,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,0.5,0.5,0.6309,1.0,0.7719,1.0,0.9784,1.0,0.913,1.0
VERSE_LOOKUP_010,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6293,0.625,0.0,1.0,0.1573,0.0
VERSE_LOOKUP_011,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7706,1.0,0.9728,1.0,0.9427,1.0
VERSE_LOOKUP_012,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7899,1.0,0.9924,1.0,0.9475,1.0
VERSE_LOOKUP_013,VERSE_LOOKUP,semantic_only,semantic,0.4,1.0,0.5714,1.0,1.0,0.987,1.0,0.8633,1.0,0.9527,1.0,0.9658,1.0
VERSE_LOOKUP_014,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,0.8809,1.0,0.8132,1.0,0.9982,1.0,0.7033,1.0
VERSE_LOOKUP_015,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,0.3333,0.3333,0.5,1.0,0.7695,1.0,0.9842,1.0,0.9424,1.0
VERSE_LOOKUP_016,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,0.2,0.2,0.3869,1.0,0.7906,1.0,0.9761,1.0,0.8539,1.0
VERSE_LOOKUP_017,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.6883,1.0,0.9891,1.0,0.6721,1.0
VERSE_LOOKUP_018,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8375,1.0,0.9059,1.0,0.7548,1.0
VERSE_LOOKUP_019,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,0.5,0.5,0.6309,1.0,0.7906,0.9167,0.9961,1.0,0.7977,1.0
VERSE_LOOKUP_020,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4437,0.8,0.0,0.0,0.1109,0.0
TOPIC_QUESTION_001,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,0.25,0.25,0.4307,1.0,0.7542,1.0,0.991,0.5,0.4613,0.5
