question_id,question_type,route_used,strategies_used,precision_at_k,recall_at_k,f1_at_k,mrr,map_at_k,ndcg_at_k,hit_rate,semantic_similarity,ragas_faithfulness,ragas_answer_relevancy,ragas_context_recall,ragas_answer_correctness,answer_coverage
VERSE_LOOKUP_001,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8334,1.0,0.9469,1.0,0.8512,1.0
VERSE_LOOKUP_002,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8375,1.0,0.9784,1.0,0.9594,1.0
VERSE_LOOKUP_003,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8256,0.8571,0.8339,1.0,0.8492,1.0
VERSE_LOOKUP_004,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7636,0.8,0.9893,1.0,0.9409,1.0
VERSE_LOOKUP_005,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7748,0.75,0.8205,1.0,0.6937,1.0
VERSE_LOOKUP_006,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8601,0.8889,0.8856,1.0,0.965,1.0
VERSE_LOOKUP_007,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8752,1.0,0.98,1.0,0.9688,1.0
VERSE_LOOKUP_008,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7818,1.0,0.8997,1.0,0.8383,0.5
VERSE_LOOKUP_009,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8496,1.0,0.8617,1.0,0.9624,1.0
VERSE_LOOKUP_010,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8349,1.0,0.9844,1.0,0.9587,1.0
VERSE_LOOKUP_011,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8228,0.9375,0.9477,1.0,0.9557,1.0
VERSE_LOOKUP_012,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7853,1.0,0.9872,1.0,0.6963,1.0
VERSE_LOOKUP_013,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8568,1.0,0.9567,1.0,0.9642,1.0
