question_id,question_type,route_used,strategies_used,precision_at_k,recall_at_k,f1_at_k,mrr,map_at_k,ndcg_at_k,hit_rate,semantic_similarity,ragas_faithfulness,ragas_answer_relevancy,ragas_context_recall,ragas_answer_correctness
VERSE_LOOKUP_001,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8334,1.0,0.9429,1.0,0.8512
VERSE_LOOKUP_002,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8375,1.0,0.9784,1.0,0.9594
VERSE_LOOKUP_003,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8256,0.8571,0.8339,1.0,0.8492
VERSE_LOOKUP_004,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7684,0.8,0.9893,1.0,0.9421
VERSE_LOOKUP_005,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7915,1.0,0.9075,1.0,0.8797
VERSE_LOOKUP_006,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8619,0.8889,0.8856,1.0,0.9214
VERSE_LOOKUP_007,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8752,1.0,0.98,1.0,0.9688
VERSE_LOOKUP_008,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7735,1.0,0.9829,1.0,0.6934
VERSE_LOOKUP_009,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8432,1.0,0.8617,1.0,0.9608
VERSE_LOOKUP_010,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8493,1.0,0.9944,1.0,0.9623
VERSE_LOOKUP_011,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8168,1.0,0.9507,1.0,0.9542
VERSE_LOOKUP_012,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8031,1.0,0.9571,1.0,0.7008
VERSE_LOOKUP_013,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8725,1.0,0.9298,1.0,0.9681
VERSE_LOOKUP_014,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8182,1.0,0.9723,1.0,0.9545
VERSE_LOOKUP_015,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7991,1.0,1.0,1.0,0.9498
VERSE_LOOKUP_016,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8348,1.0,0.8562,1.0,0.8905
VERSE_LOOKUP_017,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7857,0.0,0.8232,1.0,0.7589
VERSE_LOOKUP_018,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8693,1.0,0.9924,1.0,0.9673
VERSE_LOOKUP_019,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7926,1.0,0.9825,1.0,0.7607
VERSE_LOOKUP_020,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8351,1.0,0.9454,1.0,0.9588
TOPIC_QUESTION_001,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.6909,1.0,0.991,0.5,0.4227
TOPIC_QUESTION_002,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.3333,0.3333,0.5,1.0,0.8197,1.0,0.9945,1.0,0.614
TOPIC_QUESTION_003,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.7662,1.0,0.8953,1.0,0.7915
TOPIC_QUESTION_004,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.7898,1.0,0.9808,0.75,0.7485
TOPIC_QUESTION_005,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.8336,1.0,0.9108,1.0,0.7301
TOPIC_QUESTION_006,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.6462,1.0,0.8049,1.0,0.9985,1.0,0.7467
TOPIC_QUESTION_007,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8226,1.0,0.8895,1.0,0.8372
TOPIC_QUESTION_008,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.7182,1.0,0.874,1.0,0.4001
TOPIC_QUESTION_009,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.6808,1.0,0.989,1.0,0.3369
TOPIC_QUESTION_010,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.7831,1.0,0.9979,1.0,0.4101
TOPIC_QUESTION_011,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,1.0,1.0,0.906,1.0,0.7988,1.0,0.985,1.0,0.9255
TOPIC_QUESTION_012,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.754,1.0,0.977,1.0,0.4564
TOPIC_QUESTION_013,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7267,1.0,0.9956,1.0,0.6817
TOPIC_QUESTION_014,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7533,1.0,0.9825,1.0,0.5345
TOPIC_QUESTION_015,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.8513,1.0,0.9152,1.0,0.7753
TOPIC_QUESTION_016,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,0.5,0.9,0.6241,1.0,0.7903,1.0,0.9557,1.0,0.8404
TOPIC_QUESTION_017,TOPIC_QUESTION,R2,sql_chapter|semantic,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.8446,1.0,0.8715,1.0,0.7111
TOPIC_QUESTION_018,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.7814,1.0,0.8502,1.0,0.4709
TOPIC_QUESTION_019,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.8398,1.0,0.8034,1.0,0.71
TOPIC_QUESTION_020,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,0.5,0.9,0.6241,1.0,0.8508,1.0,0.9362,1.0,0.4002
PERSON_QUESTION_001,PERSON_QUESTION,R3,semantic|sql_supplement,0.2,1.0,0.3333,0.5,0.5,0.6309,1.0,0.8566,1.0,0.9527,0.6667,0.4869
PERSON_QUESTION_002,PERSON_QUESTION,R3,semantic|sql_supplement,0.8,1.0,0.8889,1.0,1.0,1.0,1.0,0.8426,1.0,0.965,0.6667,0.4884
PERSON_QUESTION_003,PERSON_QUESTION,R3,semantic|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7629,1.0,0.9046,0.0,0.405
PERSON_QUESTION_004,PERSON_QUESTION,R3,semantic|sql_supplement,0.4,1.0,0.5714,0.25,0.325,0.5013,1.0,0.7145,1.0,0.9078,0.3333,0.5001
PERSON_QUESTION_005,PERSON_QUESTION,R6,semantic|sql_supplement,0.6,1.0,0.75,1.0,1.0,0.9469,1.0,0.3548,1.0,0.0,0.5,0.0887
PERSON_QUESTION_006,PERSON_QUESTION,R3,semantic|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7823,0.9512,0.9688,1.0,0.3785
PERSON_QUESTION_007,PERSON_QUESTION,R3,semantic|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7819,1.0,0.9658,1.0,0.5526
PERSON_QUESTION_008,PERSON_QUESTION,R3,semantic|sql_supplement,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.8205,1.0,0.9483,1.0,0.6022
PERSON_QUESTION_009,PERSON_QUESTION,R3,semantic|sql_supplement,0.8,1.0,0.8889,1.0,1.0,1.0,1.0,0.7678,1.0,0.9386,0.75,0.613
PERSON_QUESTION_010,PERSON_QUESTION,R3,semantic|sql_supplement,0.6,1.0,0.75,1.0,1.0,0.8855,1.0,0.7801,1.0,0.965,0.5,0.2665
PERSON_QUESTION_011,PERSON_QUESTION,R3,semantic|sql_supplement,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.7093,1.0,0.8655,0.75,0.2656
PERSON_QUESTION_012,PERSON_QUESTION,R3,semantic|sql_supplement,0.4,1.0,0.5714,1.0,1.0,0.9197,1.0,0.7253,1.0,0.9589,1.0,0.4505
PERSON_QUESTION_013,PERSON_QUESTION,R3,semantic|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7391,1.0,0.8995,0.6667,0.3455
PERSON_QUESTION_014,PERSON_QUESTION,R3,semantic|sql_supplement,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.8352,0.913,0.9318,0.6667,0.6374
PERSON_QUESTION_015,PERSON_QUESTION,fallback,hybrid,0.6,1.0,0.75,0.5,1.0,0.6797,1.0,0.8392,1.0,0.9512,0.6667,0.355
PERSON_QUESTION_016,PERSON_QUESTION,R3,semantic|sql_supplement,0.2,0.3333,0.25,1.0,0.3333,1.0,1.0,0.821,0.875,0.9529,0.25,0.4009
PERSON_QUESTION_017,PERSON_QUESTION,R3,semantic|sql_supplement,0.8,1.0,0.8889,1.0,1.0,1.0,1.0,0.8785,1.0,0.9721,1.0,0.5946
PERSON_QUESTION_018,PERSON_QUESTION,R3,semantic|sql_supplement,0.6,1.0,0.75,1.0,1.0,0.8855,1.0,0.8334,1.0,0.9544,0.3333,0.4861
PERSON_QUESTION_019,PERSON_QUESTION,R3,semantic|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8016,0.7143,0.9325,1.0,0.6004
PERSON_QUESTION_020,PERSON_QUESTION,R3,semantic|sql_supplement,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.6452,0.7143,0.9134,0.3333,0.1613
EVENT_QUESTION_001,EVENT_QUESTION,R4,semantic|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7844,1.0,0.8416,0.6667,0.5022
EVENT_QUESTION_002,EVENT_QUESTION,R4,semantic|sql_supplement,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8257,1.0,0.9647,1.0,0.8241
EVENT_QUESTION_003,EVENT_QUESTION,R4,semantic|sql_supplement,0.8,1.0,0.8889,1.0,1.0,1.0,1.0,0.7821,1.0,0.9507,0.3333,0.1955
EVENT_QUESTION_004,EVENT_QUESTION,R4,semantic|sql_supplement,0.6,1.0,0.75,0.3333,1.0,0.6183,1.0,0.8094,0.9643,0.8242,1.0,0.587
EVENT_QUESTION_005,EVENT_QUESTION,R4,semantic|sql_supplement,0.2,1.0,0.3333,0.3333,0.3333,0.5,1.0,0.6526,1.0,0.8343,1.0,0.5579
EVENT_QUESTION_006,EVENT_QUESTION,R4,semantic|sql_supplement,0.2,1.0,0.3333,0.3333,0.3333,0.5,1.0,0.8186,1.0,0.868,0.3333,0.6546
EVENT_QUESTION_007,EVENT_QUESTION,R6,semantic|sql_supplement,0.6,1.0,0.75,0.3333,1.0,0.6183,1.0,0.7713,1.0,0.8243,1.0,0.6019
EVENT_QUESTION_008,EVENT_QUESTION,R4,semantic|sql_supplement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6021,0.75,0.8287,0.0,0.1505
EVENT_QUESTION_009,EVENT_QUESTION,R4,semantic|sql_supplement,0.6,1.0,0.75,1.0,1.0,0.9675,1.0,0.7572,1.0,0.8898,0.3333,0.5806
EVENT_QUESTION_010,EVENT_QUESTION,R4,semantic|sql_supplement,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.8009,0.95,0.9269,0.6667,0.4102
EVENT_QUESTION_011,EVENT_QUESTION,R4,semantic|sql_supplement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196,1.0,0.0,0.0,0.1049
EVENT_QUESTION_012,EVENT_QUESTION,R4,semantic|sql_supplement,0.4,1.0,0.5714,1.0,0.8333,0.8949,1.0,0.775,0.75,0.8966,1.0,0.4524
EVENT_QUESTION_013,EVENT_QUESTION,R4,semantic|sql_supplement,0.2,1.0,0.3333,0.2,0.2,0.3869,1.0,0.8216,1.0,0.9483,0.3333,0.5054
EVENT_QUESTION_014,EVENT_QUESTION,R4,semantic|sql_supplement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.619,1.0,0.585,0.0,0.1547
EVENT_QUESTION_015,EVENT_QUESTION,R6,semantic|sql_supplement,0.2,0.5,0.2857,1.0,0.5,1.0,1.0,0.7738,0.9545,0.9612,0.5,0.4935
EVENT_QUESTION_016,EVENT_QUESTION,R4,semantic|sql_supplement,0.2,1.0,0.3333,0.25,0.25,0.4307,1.0,0.7721,1.0,0.9084,0.6667,0.4363
EVENT_QUESTION_017,EVENT_QUESTION,R4,semantic|sql_supplement,0.2,0.5,0.2857,0.25,0.125,0.4307,1.0,0.8038,0.9444,0.9528,0.6667,0.879
EVENT_QUESTION_018,EVENT_QUESTION,R4,semantic|sql_supplement,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7979,1.0,0.7123,0.6667,0.8423
EVENT_QUESTION_019,EVENT_QUESTION,R4,semantic|sql_supplement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7887,1.0,0.9571,0.6667,0.5592
EVENT_QUESTION_020,EVENT_QUESTION,fallback,hybrid,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7142,1.0,0.936,1.0,0.9286
GENERAL_BIBLE_QUESTION_001,GENERAL_BIBLE_QUESTION,R5,semantic|sql_supplement,0.4,1.0,0.5714,1.0,0.75,0.8772,1.0,0.875,0.2,0.973,1.0,0.7714
GENERAL_BIBLE_QUESTION_002,GENERAL_BIBLE_QUESTION,R5,semantic|sql_supplement,0.6,1.0,0.75,1.0,0.8056,0.906,1.0,0.8445,0.8696,0.9057,0.3333,0.3611
GENERAL_BIBLE_QUESTION_003,GENERAL_BIBLE_QUESTION,R5,semantic|sql_supplement,0.4,0.6667,0.5,1.0,0.5556,1.0,1.0,0.8253,1.0,0.8544,0.5,0.6011
GENERAL_BIBLE_QUESTION_004,GENERAL_BIBLE_QUESTION,R5,semantic|sql_chapter|sql_supplement,0.4,1.0,0.5714,1.0,1.0,0.9765,1.0,0.8773,1.0,0.9944,1.0,0.7907
GENERAL_BIBLE_QUESTION_005,GENERAL_BIBLE_QUESTION,R3,semantic|sql_supplement,0.2,1.0,0.3333,0.25,0.25,0.4307,1.0,0.8185,1.0,0.7945,1.0,0.4446
GENERAL_BIBLE_QUESTION_006,GENERAL_BIBLE_QUESTION,R5,semantic|sql_supplement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4042,1.0,0.0,0.0,0.1011
GENERAL_BIBLE_QUESTION_007,GENERAL_BIBLE_QUESTION,R2,sql_chapter|semantic,0.2,0.5,0.2857,1.0,0.5,1.0,1.0,0.6943,1.0,0.9305,1.0,0.4383
GENERAL_BIBLE_QUESTION_008,GENERAL_BIBLE_QUESTION,fallback,hybrid,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4308,1.0,0.0,0.0,0.1077
GENERAL_BIBLE_QUESTION_009,GENERAL_BIBLE_QUESTION,R5,semantic|sql_supplement,0.4,1.0,0.5714,1.0,1.0,0.9765,1.0,0.8601,0.8824,0.8444,1.0,0.784
GENERAL_BIBLE_QUESTION_010,GENERAL_BIBLE_QUESTION,R2,sql_chapter|semantic,0.6,0.75,0.6667,1.0,0.6042,0.906,1.0,0.8199,0.9565,0.9195,1.0,0.955
GENERAL_BIBLE_QUESTION_011,GENERAL_BIBLE_QUESTION,R2,sql_chapter|semantic,0.4,0.6667,0.5,0.5,0.3333,0.8799,1.0,0.8294,1.0,0.9485,0.6667,0.6689
GENERAL_BIBLE_QUESTION_012,GENERAL_BIBLE_QUESTION,R5,semantic|sql_supplement,0.2,0.3333,0.25,0.5,0.1667,0.6309,1.0,0.6631,0.3333,0.7224,0.6667,0.1658
GENERAL_BIBLE_QUESTION_013,GENERAL_BIBLE_QUESTION,R5,semantic|sql_chapter|sql_supplement,0.4,0.6667,0.5,0.5,0.3333,0.7102,1.0,0.4181,1.0,0.0,0.75,0.1045
