question_id,question_type,route_used,strategies_used,precision_at_k,recall_at_k,f1_at_k,mrr,map_at_k,ndcg_at_k,hit_rate,semantic_similarity,ragas_faithfulness,ragas_answer_relevancy,ragas_context_recall,ragas_answer_correctness,answer_coverage
VERSE_LOOKUP_001,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8376,1.0,0.984,1.0,0.7549,1.0
VERSE_LOOKUP_002,VERSE_LOOKUP,semantic_only,semantic,0.4,1.0,0.5714,1.0,1.0,0.8596,1.0,0.8317,1.0,0.859,1.0,0.6365,1.0
VERSE_LOOKUP_003,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5245,0.5,0.0,1.0,0.1311,0.0
VERSE_LOOKUP_004,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7669,1.0,0.9909,1.0,0.8584,1.0
VERSE_LOOKUP_005,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4332,0.5,0.0,0.0,0.1083,0.0
VERSE_LOOKUP_006,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8407,1.0,0.9632,1.0,0.916,1.0
VERSE_LOOKUP_007,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.871,0.9091,0.9045,1.0,0.932,1.0
VERSE_LOOKUP_008,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3808,1.0,0.0,0.0,0.0952,0.0
VERSE_LOOKUP_009,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,0.5,0.5,0.6309,1.0,0.833,1.0,0.8617,1.0,0.9006,1.0
VERSE_LOOKUP_010,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5313,0.0,0.0,1.0,0.1328,0.0
