question_id,question_type,route_used,strategies_used,precision_at_k,recall_at_k,f1_at_k,mrr,map_at_k,ndcg_at_k,hit_rate,semantic_similarity,ragas_faithfulness,ragas_answer_relevancy,ragas_context_recall,ragas_answer_correctness
VERSE_LOOKUP_001,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8754,1.0,0.8118,1.0,0.8855
VERSE_LOOKUP_002,VERSE_LOOKUP,semantic_only,semantic,0.4,1.0,0.5714,1.0,1.0,0.8596,1.0,0.8374,1.0,0.8138,1.0,0.5843
VERSE_LOOKUP_003,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393,0.0,0.0,1.0,0.1098
VERSE_LOOKUP_004,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8318,1.0,0.8776,1.0,0.8746
VERSE_LOOKUP_005,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4415,0.0,0.0,0.0,0.1104
VERSE_LOOKUP_006,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8453,1.0,0.9581,1.0,0.8676
VERSE_LOOKUP_007,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8737,0.3333,0.9047,1.0,0.9684
VERSE_LOOKUP_008,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4193,0.0,0.0,0.0,0.1048
VERSE_LOOKUP_009,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,0.5,0.5,0.6309,1.0,0.7903,1.0,0.9784,1.0,0.9476
VERSE_LOOKUP_010,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5464,0.0,0.0,1.0,0.1366
VERSE_LOOKUP_011,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8268,1.0,0.9035,1.0,0.9567
VERSE_LOOKUP_012,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7811,1.0,0.8884,1.0,0.6238
VERSE_LOOKUP_013,VERSE_LOOKUP,semantic_only,semantic,0.4,1.0,0.5714,1.0,1.0,0.987,1.0,0.8617,1.0,0.9405,1.0,0.9654
VERSE_LOOKUP_014,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,0.8809,1.0,0.7917,1.0,0.9117,1.0,0.8646
VERSE_LOOKUP_015,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,0.3333,0.3333,0.5,1.0,0.8062,1.0,0.843,1.0,0.9516
VERSE_LOOKUP_016,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,0.2,0.2,0.3869,1.0,0.8561,1.0,0.7018,1.0,0.964
VERSE_LOOKUP_017,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7065,1.0,0.9269,1.0,0.7391
VERSE_LOOKUP_018,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8887,1.0,0.9896,1.0,0.9722
VERSE_LOOKUP_019,VERSE_LOOKUP,semantic_only,semantic,0.2,1.0,0.3333,0.5,0.5,0.6309,1.0,0.8151,1.0,0.8983,1.0,0.9538
VERSE_LOOKUP_020,VERSE_LOOKUP,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3911,0.0,0.0,0.0,0.0978
TOPIC_QUESTION_001,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,0.25,0.25,0.4307,1.0,0.7212,1.0,0.991,0.5,0.4053
TOPIC_QUESTION_002,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,0.3333,0.3333,0.5,1.0,0.8111,1.0,0.9944,1.0,0.5361
TOPIC_QUESTION_003,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7976,1.0,0.8423,1.0,0.831
TOPIC_QUESTION_004,TOPIC_QUESTION,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615,0.0,0.0,0.0,0.1154
TOPIC_QUESTION_005,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,0.2,0.2,0.3869,1.0,0.8291,1.0,0.991,1.0,0.9345
TOPIC_QUESTION_006,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,0.5,0.5,0.6462,1.0,0.7871,1.0,0.9985,1.0,0.8396
TOPIC_QUESTION_007,TOPIC_QUESTION,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4159,1.0,0.0,0.0,0.104
TOPIC_QUESTION_008,TOPIC_QUESTION,semantic_only,semantic,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.7329,1.0,0.874,1.0,0.3618
TOPIC_QUESTION_009,TOPIC_QUESTION,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4161,0.0,0.0,0.0,0.104
TOPIC_QUESTION_010,TOPIC_QUESTION,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3554,0.0,0.0,0.0,0.0889
TOPIC_QUESTION_011,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7785,1.0,0.9777,1.0,0.5207
TOPIC_QUESTION_012,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,0.5,0.5,0.6309,1.0,0.7772,1.0,0.934,1.0,0.9443
TOPIC_QUESTION_013,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7307,1.0,0.9472,1.0,0.5463
TOPIC_QUESTION_014,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7579,1.0,0.9825,1.0,0.5109
TOPIC_QUESTION_015,TOPIC_QUESTION,semantic_only,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3727,0.0,0.0,0.0,0.0932
TOPIC_QUESTION_016,TOPIC_QUESTION,semantic_only,semantic,0.4,1.0,0.5714,0.5,0.9,0.6241,1.0,0.7984,1.0,0.9744,1.0,0.9254
TOPIC_QUESTION_017,TOPIC_QUESTION,semantic_only,semantic,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.8451,1.0,0.8715,1.0,0.595
TOPIC_QUESTION_018,TOPIC_QUESTION,semantic_only,semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7486,1.0,0.967,0.6667,0.6157
