question_id,question_type,route_used,strategies_used,precision_at_k,recall_at_k,f1_at_k,mrr,map_at_k,ndcg_at_k,hit_rate,semantic_similarity,ragas_faithfulness,ragas_answer_relevancy,ragas_context_recall,ragas_answer_correctness,answer_coverage
VERSE_LOOKUP_001,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8478,1.0,0.9752,1.0,0.9619,1.0
VERSE_LOOKUP_002,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7899,0.8333,0.9853,1.0,0.6975,1.0
VERSE_LOOKUP_003,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7975,1.0,0.9972,1.0,0.9053,1.0
VERSE_LOOKUP_004,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7959,1.0,0.9921,1.0,0.8418,1.0
VERSE_LOOKUP_005,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7397,1.0,0.9933,1.0,0.8992,1.0
VERSE_LOOKUP_006,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8413,0.8889,1.0,1.0,0.9162,1.0
VERSE_LOOKUP_007,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8302,1.0,0.9947,1.0,0.9218,1.0
VERSE_LOOKUP_008,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8595,1.0,0.9791,1.0,0.9649,1.0
VERSE_LOOKUP_009,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7845,0.8889,1.0,1.0,0.902,1.0
VERSE_LOOKUP_010,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8583,1.0,1.0,1.0,0.9646,1.0
VERSE_LOOKUP_011,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7759,0.9412,1.0,1.0,0.944,1.0
VERSE_LOOKUP_012,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7394,0.7273,0.9924,1.0,0.626,1.0
VERSE_LOOKUP_013,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8471,1.0,0.9777,1.0,0.9041,1.0
VERSE_LOOKUP_014,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7962,1.0,0.9734,1.0,0.949,1.0
VERSE_LOOKUP_015,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7387,1.0,1.0,1.0,0.6847,1.0
VERSE_LOOKUP_016,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7643,1.0,0.9892,1.0,0.7744,1.0
VERSE_LOOKUP_017,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.6965,0.8889,0.9891,1.0,0.8304,1.0
VERSE_LOOKUP_018,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7995,1.0,0.9873,1.0,0.852,1.0
VERSE_LOOKUP_019,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8001,1.0,0.9961,1.0,0.825,1.0
VERSE_LOOKUP_020,VERSE_LOOKUP,R1,verse_direct,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.8385,1.0,0.9534,1.0,0.8096,1.0
TOPIC_QUESTION_001,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.7299,1.0,0.991,0.5,0.3825,0.5
TOPIC_QUESTION_002,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.3333,0.3333,0.5,1.0,0.8039,1.0,0.997,1.0,0.7202,1.0
TOPIC_QUESTION_003,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.8475,1.0,0.9869,1.0,0.8547,1.0
TOPIC_QUESTION_004,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.7782,0.9167,0.9788,0.75,0.757,0.75
TOPIC_QUESTION_005,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.8255,1.0,0.9481,1.0,0.841,1.0
TOPIC_QUESTION_006,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.6462,1.0,0.8211,1.0,0.9985,1.0,0.679,1.0
TOPIC_QUESTION_007,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.824,1.0,0.8404,1.0,0.6833,1.0
TOPIC_QUESTION_008,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.7517,1.0,0.9986,1.0,0.5827,0.75
TOPIC_QUESTION_009,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.6894,1.0,0.9919,1.0,0.4223,0.75
TOPIC_QUESTION_010,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.8381,1.0,0.991,1.0,0.8302,1.0
TOPIC_QUESTION_011,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,1.0,1.0,0.906,1.0,0.7677,1.0,0.9897,1.0,0.5669,1.0
TOPIC_QUESTION_012,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.7698,1.0,0.9961,1.0,0.7247,1.0
TOPIC_QUESTION_013,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7471,1.0,0.9616,1.0,0.6006,1.0
TOPIC_QUESTION_014,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7624,1.0,0.9895,1.0,0.321,0.5
TOPIC_QUESTION_015,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.8299,1.0,0.9974,1.0,0.7908,1.0
TOPIC_QUESTION_016,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,0.5,0.9,0.6241,1.0,0.8189,0.875,0.9648,1.0,0.8047,1.0
TOPIC_QUESTION_017,TOPIC_QUESTION,R2,sql_chapter|semantic,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.8466,1.0,0.9839,1.0,0.7688,1.0
TOPIC_QUESTION_018,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.7739,1.0,0.9482,1.0,0.7127,1.0
TOPIC_QUESTION_019,TOPIC_QUESTION,R2,sql_chapter|semantic,0.2,1.0,0.3333,0.5,0.5,0.9134,1.0,0.8421,1.0,0.9981,1.0,0.9279,1.0
TOPIC_QUESTION_020,TOPIC_QUESTION,R2,sql_chapter|semantic,0.4,1.0,0.5714,0.5,0.9,0.6241,1.0,0.8205,1.0,0.9976,1.0,0.5513,0.75
PERSON_QUESTION_001,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,0.2,1.0,0.3333,0.5,0.5,0.6309,1.0,0.8573,1.0,0.9387,0.6667,0.4286,0.9
PERSON_QUESTION_002,PERSON_QUESTION,R3,graph_person|semantic|entity_path|sql_supplement,0.8,1.0,0.8889,1.0,1.0,1.0,1.0,0.7734,0.8947,0.9446,0.6667,0.5215,0.5
PERSON_QUESTION_003,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7823,1.0,0.9495,0.0,0.2533,0.4167
PERSON_QUESTION_004,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7611,0.875,0.0,0.3333,0.4153,0.4167
PERSON_QUESTION_005,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.7508,1.0,0.0,0.5,0.4604,0.4
PERSON_QUESTION_006,PERSON_QUESTION,R3,graph_person|semantic|entity_path|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8351,1.0,0.951,1.0,0.5349,0.9
PERSON_QUESTION_007,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7738,0.9333,0.9532,1.0,0.7127,0.6
PERSON_QUESTION_008,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.8115,1.0,0.9569,1.0,0.5529,0.6667
PERSON_QUESTION_009,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand,0.8,1.0,0.8889,1.0,1.0,1.0,1.0,0.8003,1.0,0.9262,1.0,0.6039,0.9
PERSON_QUESTION_010,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,0.8,1.0,0.8889,1.0,1.0,1.0,1.0,0.8236,1.0,0.9495,0.5,0.4016,0.5
PERSON_QUESTION_011,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,0.8,1.0,0.8889,1.0,1.0,0.9829,1.0,0.7591,1.0,0.931,1.0,0.4898,0.8
PERSON_QUESTION_012,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,0.6,1.0,0.75,1.0,1.0,0.906,1.0,0.6673,0.7368,0.9565,1.0,0.3399,0.9167
PERSON_QUESTION_013,PERSON_QUESTION,R3,graph_person|semantic|entity_path|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7379,0.9565,0.8003,0.6667,0.4572,0.5
PERSON_QUESTION_014,PERSON_QUESTION,R3,graph_person|semantic|entity_path|sql_supplement,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.829,1.0,0.9106,1.0,0.5072,0.75
PERSON_QUESTION_015,PERSON_QUESTION,R4,graph_event|semantic|sql_supplement,0.6,1.0,0.75,0.5,1.0,0.6797,1.0,0.8364,1.0,0.9487,0.6667,0.4364,0.75
PERSON_QUESTION_016,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,0.2,0.3333,0.25,1.0,0.3333,1.0,1.0,0.8232,0.8,0.9704,0.25,0.5808,0.5
PERSON_QUESTION_017,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8113,0.8,0.9685,1.0,0.4755,0.7
PERSON_QUESTION_018,PERSON_QUESTION,R3,graph_person|semantic|entity_path|cross_ref_expand|sql_supplement,0.6,1.0,0.75,1.0,1.0,0.8855,1.0,0.8165,0.9412,0.8837,0.3333,0.5375,0.6667
PERSON_QUESTION_019,PERSON_QUESTION,R3,graph_person|semantic|entity_path|sql_supplement,0.6,1.0,0.75,1.0,1.0,1.0,1.0,0.7377,0.9,0.0,1.0,0.613,0.4167
PERSON_QUESTION_020,PERSON_QUESTION,R3,graph_person|semantic|entity_path|sql_supplement,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.7217,0.8667,0.917,0.25,0.4929,0.5
EVENT_QUESTION_001,EVENT_QUESTION,R4,graph_event|semantic|cross_ref_expand|sql_supplement,0.4,1.0,0.5714,1.0,1.0,1.0,1.0,0.7981,1.0,0.9528,0.6667,0.3195,0.3333
EVENT_QUESTION_002,EVENT_QUESTION,R4,semantic|sql_supplement,0.2,1.0,0.3333,1.0,1.0,1.0,1.0,0.7858,1.0,0.9412,1.0,0.7834,1.0
EVENT_QUESTION_003,EVENT_QUESTION,R4,semantic|sql_supplement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7784,1.0,0.8363,0.3333,0.3775,0.625
EVENT_QUESTION_004,EVENT_QUESTION,R4,graph_event|semantic|sql_supplement,0.6,1.0,0.75,0.3333,1.0,0.6183,1.0,0.8057,1.0,0.6852,1.0,0.7639,1.0
EVENT_QUESTION_005,EVENT_QUESTION,R4,semantic|sql_supplement,0.2,1.0,0.3333,0.3333,0.3333,0.5,1.0,0.7322,1.0,0.7776,1.0,0.6275,0.8
EVENT_QUESTION_006,EVENT_QUESTION,R4,graph_event|semantic|sql_supplement,0.2,1.0,0.3333,0.3333,0.3333,0.5,1.0,0.8209,1.0,0.8158,0.3333,0.7052,0.8333
